AT1G60410
AT1G60420
AT1G60430
AT1G60440
AT1G60450
AT1G60460
AT1G60470
AT1G60490
AT1G60500
AT1G60530
AT1G60550
AT1G60560
AT1G60570
AT1G60590
AT1G60600
AT1G60610
AT1G60620
AT1G60625
AT1G60630
AT1G60640
AT1G60650
AT1G60660
AT1G60670
AT1G60680
AT1G60690
AT1G60700
AT1G60710
AT1G60720
AT1G60730
AT1G60740
AT1G60750
AT1G60760
AT1G60770
AT1G60780
AT1G60783
AT1G60790
AT1G60800
AT1G60810
AT1G60815
AT1G60830
AT1G60850
AT1G60860
AT1G60870
AT1G60880
AT1G60890
AT1G60900
AT1G60913
AT1G60920
AT1G60930
AT1G60940
AT1G60950
AT1G60960
AT1G60970
AT1G60980
AT1G60983
AT1G60985
AT1G60986
AT1G60987
AT1G60989
AT1G60990
AT1G60995
AT1G61000
AT1G61010
AT1G61030
AT1G61040
AT1G61050
AT1G61060
AT1G61065
AT1G61070
AT1G61080
AT1G61090
AT1G61093
AT1G61095
AT1G61097
AT1G61100
AT1G61105
AT1G61110
AT1G61120
AT1G61130
AT1G61140
AT1G61150
AT1G61160
AT1G61165
AT1G61170
AT1G61180
AT1G61190
AT1G61200
AT1G61210
AT1G61215
AT1G61230
AT1G61240
AT1G61250
AT1G61255
AT1G61260
AT1G61270
AT1G61280
AT1G61290
AT1G61300
AT1G61310
AT1G61320
AT1G61330
AT1G61340
AT1G61350
AT1G61353
AT1G61360
AT1G61370
AT1G61380
AT1G61390
AT1G61400
AT1G61410
AT1G61415
AT1G61420
AT1G61430
AT1G61440
AT1G61450
AT1G61460
AT1G61470
AT1G61475
AT1G61480
AT1G61490
AT1G61500
AT1G61520
AT1G61540
AT1G61550
AT1G61560
AT1G61563
AT1G61566
AT1G61570
AT1G61575
AT1G61580
AT1G61590
AT1G61600
AT1G61610
AT1G61620
AT1G61630
AT1G61640
AT1G61660
AT1G61667
AT1G61670
AT1G61680
AT1G61688
AT1G61690
AT1G61700
AT1G61710
AT1G61720
AT1G61730
AT1G61740
AT1G61750
AT1G61760
AT1G61770
AT1G61780
AT1G61790
AT1G61795
AT1G61800
AT1G61810
AT1G61820
AT1G61840
AT1G61850
AT1G61860
AT1G61870
AT1G61890
AT1G61900
AT1G61920
AT1G61930
AT1G61940
AT1G61950
AT1G61960
AT1G61970
AT1G61980
AT1G61990
AT1G62000
AT1G62010
AT1G62020
AT1G62030
AT1G62040
AT1G62045
AT1G62050
AT1G62060
AT1G62070
AT1G62080
AT1G62085
AT1G62110
AT1G62120
AT1G62130
AT1G62150
AT1G62160
AT1G62170
AT1G62180
AT1G62181
AT1G62190
AT1G62200
AT1G62210
AT1G62220
AT1G62225
AT1G62240
AT1G62250
AT1G62260
AT1G62262
AT1G62270
AT1G62280
AT1G62290
AT1G62300
AT1G62301
AT1G62305
AT1G62310
AT1G62320
AT1G62330
AT1G62333
AT1G62340
AT1G62350
AT1G62360
AT1G62370
AT1G62380
AT1G62390
AT1G62400
AT1G62410
AT1G62420
AT1G62421
AT1G62422
AT1G62430
AT1G62440
AT1G62450
AT1G62480
AT1G62490
AT1G62500
AT1G62510
AT1G62520
AT1G62530
AT1G62540
AT1G62560
AT1G62570
AT1G62580
AT1G62590
AT1G62600
AT1G62610
AT1G62620
AT1G62630
AT1G62640
AT1G62660
AT1G62670
AT1G62680
AT1G62690
AT1G62700
AT1G62710
AT1G62720
AT1G62730
AT1G62740
AT1G62750
AT1G62760
AT1G62770
AT1G62780
AT1G62790
AT1G62800
AT1G62810
AT1G62820
AT1G62830
AT1G62840
AT1G62850
AT1G62863
AT1G62870
AT1G62880
AT1G62886
AT1G62900
AT1G62910
AT1G62914
AT1G62920
AT1G62930
AT1G62935
AT1G62940
AT1G62950
AT1G62960
AT1G62970
AT1G62975
AT1G62978
AT1G62980
AT1G62981
AT1G62990
AT1G63000
AT1G63010
AT1G63020
AT1G63030
AT1G63050
AT1G63055
